game_date,team_home,team_away,most_common_total_line,average_total_line,most_common_moneyline_home,average_moneyline_home,most_common_moneyline_away,average_moneyline_away,most_common_spread_home,average_spread_home,most_common_spread_away,average_spread_away,average_total_over_money,average_total_under_money,most_common_total_over_money,most_common_total_under_money,season_year
2026-01-03 03:00:00+00:00,Golden State Warriors,Oklahoma City Thunder,226.4999,218.2691,-549.9999,-456.6922,750.0001,645.6378,-13.4999,-11.7691,13.5001,11.7693,2.0884,2.1109,2.1,2.1,2025
2026-01-03 02:00:00+00:00,Phoenix Suns,Sacramento Kings,223.9999,215.3461,750.0001,730.557,-524.9999,-521.7691,13.5001,12.2693,-13.4999,-12.2691,2.1891,2.0484,2.1,2.1,2025
2026-01-03 01:00:00+00:00,Chicago Bulls,Orlando Magic,233.4999,225.0768,-164.9999,-165.7691,200.0001,192.8463,-4.9999,-4.8076,5.0001,4.8078,2.0778,2.1473,2.1,2.1,2025
2026-01-03 01:00:00+00:00,Milwaukee Bucks,Charlotte Hornets,235.4999,224.8845,220.0001,227.1793,-189.9999,-191.2307,6.0001,5.7309,-5.9999,-5.7307,2.0874,2.0864,2.1,2.1,2025
2026-01-03 01:00:00+00:00,New Orleans Pelicans,Portland Trail Blazers,240.9999,231.9999,-134.9999,-119.2307,159.0001,239.9232,-3.4999,-2.9999,3.5001,3.0001,2.1162,2.0946,2.1,2.1,2025
2026-01-03 00:30:00+00:00,Cleveland Cavaliers,Denver Nuggets,240.4999,232.1153,750.0001,665.0516,-573.9999,-475.5384,13.5001,13.2084,-13.4999,-13.2082,2.0522,2.1922,2.1,2.1,2025
2026-01-03 00:30:00+00:00,New York Knicks,Atlanta Hawks,239.4999,239.0832,185.0001,173.2686,-153.9999,-147.9999,4.5001,3.9232,-4.4999,-3.923,2.2179,2.0292,2.1,2.1,2025
2026-01-03 00:00:00+00:00,Washington Wizards,Brooklyn Nets,223.9999,216.0384,148.0001,118.307,-124.9999,-116.1538,3.0001,2.4232,-2.9999,-2.423,2.0685,2.1075,2.1,2.1,2025
2026-01-03 00:00:00+00:00,Indiana Pacers,San Antonio Spurs,238.9999,229.9614,-169.9999,-175.9999,205.0001,205.5624,-4.9999,-4.923,5.0001,4.9232,2.1207,2.0847,2.1,2.1,2025
2026-01-02 03:30:00+00:00,LA Clippers,UTA Jazz,229.9999,220.5832,850.0001,573.8208,-574.9999,-409.6922,14.0001,11.0834,-13.9999,-11.0833,2.0574,2.1322,2.1,2.1,2025
